email_id,customer_id,opened,clicked,bounced,sent_date,opened_date,clicked_date,email_subject_id,whether opened or not,whether clicked or not,whether bounced,,,
174737,2,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174738,5,t,f,f,9/21/2016 15:00,22-09-2016 10:12,,7,1,0,0,,,
174739,6,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174740,7,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174741,8,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174742,9,t,f,f,9/21/2016 15:00,22-09-2016 05:26,,7,1,0,0,clicked,848,
174743,10,f,f,f,9/21/2016 15:00,,,7,0,0,0,bounced,125,
174744,11,f,f,f,9/21/2016 15:00,,,7,0,0,0,SENT ,209802,
174745,14,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174746,15,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174747,17,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174748,18,t,f,f,9/21/2016 15:00,22-09-2016 06:06,,7,1,0,0,CLICK RATE,,0.404431578
174749,19,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174750,20,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174751,21,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174752,22,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174753,23,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174754,24,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174755,25,t,f,f,9/21/2016 15:00,22-09-2016 19:46,,7,1,0,0,,,
174756,29,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174757,30,t,t,f,9/21/2016 15:00,22-09-2016 18:10,22-09-2016 18:17,7,1,1,0,,,
174758,31,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174759,33,t,f,f,9/21/2016 15:00,23-09-2016 03:33,,7,1,0,0,,,
174760,34,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174761,36,t,f,f,9/21/2016 15:00,22-09-2016 22:33,,7,1,0,0,,,
174762,37,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174763,40,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174764,41,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174765,42,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174766,48,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174767,49,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174768,50,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174769,51,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174770,52,t,t,f,9/21/2016 15:00,23-09-2016 01:41,23-09-2016 01:44,7,1,1,0,,,
174771,53,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174772,54,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174773,55,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174774,56,t,f,f,9/21/2016 15:00,22-09-2016 04:13,,7,1,0,0,,,
174775,58,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174776,59,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174777,60,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174778,62,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174779,63,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174780,64,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174781,65,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174782,67,t,f,f,9/21/2016 15:00,22-09-2016 20:24,,7,1,0,0,,,
174783,68,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174784,69,t,f,f,9/21/2016 15:00,22-09-2016 07:10,,7,1,0,0,,,
174785,71,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174786,72,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174787,73,t,f,f,9/21/2016 15:00,22-09-2016 19:55,,7,1,0,0,,,
174788,74,t,f,f,9/21/2016 15:00,23-09-2016 03:06,,7,1,0,0,,,
174789,75,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174790,76,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174791,78,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174792,79,t,f,f,9/21/2016 15:00,22-09-2016 13:52,,7,1,0,0,,,
174793,80,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174794,81,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174795,82,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174796,84,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174797,85,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174798,86,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174799,88,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174800,89,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174801,92,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174802,93,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174803,94,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174804,95,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174805,97,t,f,f,9/21/2016 15:00,22-09-2016 11:03,,7,1,0,0,,,
174806,98,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174807,99,t,f,f,9/21/2016 15:00,22-09-2016 14:14,,7,1,0,0,,,
174808,100,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174809,101,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174810,102,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174811,103,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174812,104,t,t,f,9/21/2016 15:00,22-09-2016 09:19,22-09-2016 09:23,7,1,1,0,,,
174813,105,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174814,106,t,f,f,9/21/2016 15:00,22-09-2016 19:23,,7,1,0,0,,,
174815,107,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174816,108,t,f,f,9/21/2016 15:00,22-09-2016 09:09,,7,1,0,0,,,
174817,109,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174818,111,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174819,114,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174820,115,t,f,f,9/21/2016 15:00,22-09-2016 09:26,,7,1,0,0,,,
174821,119,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174822,121,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174823,122,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174824,123,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174825,127,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174826,128,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174827,129,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174828,130,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174829,132,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174830,133,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174831,134,t,f,f,9/21/2016 15:00,22-09-2016 09:52,,7,1,0,0,,,
174832,135,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174833,137,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174834,138,t,f,f,9/21/2016 15:00,22-09-2016 13:10,,7,1,0,0,,,
174835,139,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174836,140,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174837,141,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174838,142,t,t,f,9/21/2016 15:00,22-09-2016 06:56,22-09-2016 07:01,7,1,1,0,,,
174839,143,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174840,144,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174841,147,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174842,148,t,t,f,9/21/2016 15:00,22-09-2016 02:22,22-09-2016 02:27,7,1,1,0,,,
174843,149,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174844,151,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174845,153,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174846,154,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174847,155,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174848,156,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174849,157,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174850,158,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174851,159,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174852,160,t,f,f,9/21/2016 15:00,22-09-2016 16:00,,7,1,0,0,,,
174853,161,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174854,162,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174855,163,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174856,165,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174857,167,t,f,f,9/21/2016 15:00,22-09-2016 21:32,,7,1,0,0,,,
174858,168,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174859,169,t,f,f,9/21/2016 15:00,22-09-2016 13:24,,7,1,0,0,,,
174860,170,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174861,171,t,f,f,9/21/2016 15:00,23-09-2016 00:54,,7,1,0,0,,,
174862,172,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174863,174,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174864,178,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174865,181,t,f,f,9/21/2016 15:00,22-09-2016 11:47,,7,1,0,0,,,
174866,182,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174867,184,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174868,185,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174869,186,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174870,187,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174871,188,t,f,f,9/21/2016 15:00,22-09-2016 12:09,,7,1,0,0,,,
174872,189,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174873,190,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174874,191,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174875,193,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174876,194,t,t,f,9/21/2016 15:00,22-09-2016 17:59,22-09-2016 18:03,7,1,1,0,,,
174877,195,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174878,197,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174879,198,t,f,f,9/21/2016 15:00,22-09-2016 11:09,,7,1,0,0,,,
174880,200,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174881,201,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174882,202,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174883,203,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174884,207,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174885,208,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174886,209,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174887,213,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174888,215,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174889,216,t,f,f,9/21/2016 15:00,22-09-2016 06:47,,7,1,0,0,,,
174890,218,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174891,220,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174892,221,t,f,f,9/21/2016 15:00,22-09-2016 15:02,,7,1,0,0,,,
174893,222,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174894,223,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174895,224,t,t,f,9/21/2016 15:00,22-09-2016 14:20,22-09-2016 14:24,7,1,1,0,,,
174896,226,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174897,228,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174898,229,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174899,230,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174900,231,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174901,232,t,t,f,9/21/2016 15:00,22-09-2016 09:50,22-09-2016 09:53,7,1,1,0,,,
174902,233,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174903,234,t,f,f,9/21/2016 15:00,22-09-2016 03:06,,7,1,0,0,,,
174904,236,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174905,238,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174906,239,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174907,240,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174908,241,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174909,242,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174910,340,t,f,f,9/21/2016 15:00,22-09-2016 01:39,,7,1,0,0,,,
174911,243,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174912,245,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174913,246,t,f,f,9/21/2016 15:00,22-09-2016 22:02,,7,1,0,0,,,
174914,247,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174915,248,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174916,249,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174917,250,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174918,252,t,f,f,9/21/2016 15:00,22-09-2016 10:21,,7,1,0,0,,,
174919,253,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174920,254,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174921,257,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174922,258,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174923,259,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174924,260,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174925,261,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174926,262,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174927,263,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174928,264,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174929,265,t,f,f,9/21/2016 15:00,22-09-2016 17:42,,7,1,0,0,,,
174930,266,t,f,f,9/21/2016 15:00,22-09-2016 16:10,,7,1,0,0,,,
174931,268,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174932,271,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174933,272,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174934,274,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174935,276,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174936,280,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174937,281,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174938,282,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174939,283,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174940,285,t,f,f,9/21/2016 15:00,22-09-2016 02:28,,7,1,0,0,,,
174941,287,t,f,f,9/21/2016 15:00,23-09-2016 00:58,,7,1,0,0,,,
174942,288,t,f,f,9/21/2016 15:00,22-09-2016 18:04,,7,1,0,0,,,
174943,290,t,f,f,9/21/2016 15:00,22-09-2016 06:32,,7,1,0,0,,,
174944,292,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174945,293,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174946,295,t,t,f,9/21/2016 15:00,22-09-2016 15:18,22-09-2016 15:21,7,1,1,0,,,
174947,296,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174948,297,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174949,298,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174950,299,t,f,f,9/21/2016 15:00,23-09-2016 07:00,,7,1,0,0,,,
174951,301,t,f,f,9/21/2016 15:00,22-09-2016 10:32,,7,1,0,0,,,
174952,302,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174953,306,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174954,308,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174955,309,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174956,310,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174957,311,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174958,312,t,t,f,9/21/2016 15:00,22-09-2016 08:40,22-09-2016 08:44,7,1,1,0,,,
174959,313,t,f,f,9/21/2016 15:00,22-09-2016 07:53,,7,1,0,0,,,
174960,314,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174961,315,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174962,317,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174963,318,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174964,321,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174965,322,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174966,323,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174967,325,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174968,327,t,f,f,9/21/2016 15:00,22-09-2016 04:11,,7,1,0,0,,,
174969,328,t,f,f,9/21/2016 15:00,22-09-2016 13:15,,7,1,0,0,,,
174970,329,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174971,330,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174972,333,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174973,334,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174974,337,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174975,338,t,f,f,9/21/2016 15:00,22-09-2016 22:07,,7,1,0,0,,,
174976,339,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174977,342,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174978,343,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174979,344,t,f,f,9/21/2016 15:00,23-09-2016 06:05,,7,1,0,0,,,
174980,346,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174981,347,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174982,348,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174983,349,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174984,351,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174985,352,t,f,f,9/21/2016 15:00,23-09-2016 07:05,,7,1,0,0,,,
174986,353,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174987,354,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174988,355,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174989,356,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174990,357,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174991,358,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174992,359,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174993,360,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174994,361,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174995,363,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174996,364,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174997,365,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174998,367,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
174999,368,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
175000,369,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
175001,370,f,f,f,9/21/2016 15:00,,,7,0,0,0,,,
